label	i	c	o	span
x	Propofol	propofol	S '	Among TDI two parameters demonstrated a significant inter-group difference: the S' in propofol was lower than that in Thiopental-group at T3 (p = 0.002), and a' velocities were persistently lower in Propofol-group, compared with same time values in Thiopental-group (T1, T2, and T3: p = 0.025, 0.007, and 0.009, respectively).
gold	Propofol 	Thiopental	Systolic blood pressure recovery	A related pattern was observed in systolic BP: the baseline and initial decline were similar between the two groups (p = 0.193 and 0.214); however, after that thiopental group tended to recover and significantly higher level of systolic BP compared with those of propofol [T2: 121.0 (111.3-136.8) vs. 106.5 (95.3-115.0) mmHg, p = 0.014;
x	thiopental	propofol	level of systolic BP	A related pattern was observed in systolic BP: the baseline and initial decline were similar between the two groups (p = 0.193 and 0.214); however, after that thiopental group tended to recover and significantly higher level of systolic BP compared with those of propofol [T2: 121.0 (111.3-136.8) vs. 106.5 (95.3-115.0) mmHg, p = 0.014; T3: 117.0 (106.0-136.8) vs. 99.0 (91.0-110.0) mmHg, p = 0.016] (Fig.
gold	Propofol 	Thiopental	Systolic blood pressure recovery	A related pattern was observed in systolic BP: the baseline and initial decline were similar between the two groups (p = 0.193 and 0.214); however, after that thiopental group tended to recover and significantly higher level of systolic BP compared with those of propofol [T2: 121.0 (111.3-136.8) vs. 106.5 (95.3-115.0) mmHg, p = 0.014;
x	thiopental	propofol	systolic BP	A related pattern was observed in systolic BP: the baseline and initial decline were similar between the two groups (p = 0.193 and 0.214); however, after that thiopental group tended to recover and significantly higher level of systolic BP compared with those of propofol [T2: 121.0 (111.3-136.8) vs. 106.5 (95.3-115.0) mmHg, p = 0.014; T3: 117.0 (106.0-136.8) vs. 99.0 (91.0-110.0) mmHg, p = 0.016] (Fig.
gold	Litesse® Ultra polydextrose 	Placebo	Body fat mass	For relative change in body fat mass, LU + B420 showed a − 4.5% (− 1.4 kg, P = 0.02, N = 37) difference to the Placebo group, whereas LU (+ 0.3%, P = 1.00, N = 35) and B420 (− 3.0%, P = 0.28, N = 24) alone had no effect (overall ANOVA P = 0.095, Placebo N = 35).
x	LU + B420	Placebo	body fat mass	For relative change in body fat mass, LU + B420 showed a − 4.5% (− 1.4 kg, P = 0.02, N = 37) difference to the Placebo group, whereas LU (+ 0.3%, P = 1.00, N = 35) and B420 (− 3.0%, P = 0.28, N = 24) alone had no effect (overall ANOVA P = 0.095, Placebo N = 35).
gold	Litesse® Ultra polydextrose  ́+ Bifidobacterium animalisssp. lactis 420	Placebo	Energy intake	B420 and LU + B420 also significantly reduced energy intake compared to Placebo
c	Placebo	LU	energy intake	B420 and LU + B420 also significantly reduced energy intake compared to Placebo.
gold	Aloe vera aqueous extract 40 mg/kg 	Control	Equilibrium 	On the other hands, equilibrium in the group which received 10 mg/kg of Aloe vera aqueous extract daily significantly decreased (P = 0.01) (Table 2) compared with the other groups; however, this parameter in the group which received 40 mg/kg Aloe vera aqueous extract significantly increased compared with the control group (P = 0.01) (Table 2).
c	Aloe vera aqueous extract	Aloe vera aqueous extract	equilibrium	On the other hands, equilibrium in the group which received 10 mg/kg of Aloe vera aqueous extract daily significantly decreased (P = 0.01) (Table 2) compared with the other groups; however, this parameter in the group which received 40 mg/kg Aloe vera aqueous extract significantly increased compared with the control group (P = 0.01) (Table 2).
gold	Aloe vera aqueous extract 40 mg/kg 	Control	Floppy eyelids	floppy eyelids in the group which received 10 mg/kg of Aloe vera aqueous extract was significantly lower (Table 3) than that of the control group, but this parameter in the group which received 40 mg/kg Aloe vera aqueous extract was significantly higher than that of the control group (P = 0.03)
c	Aloe vera aqueous extract	Aloe vera aqueous extract	floppy eyelids	In addition, the results of the present study showed that the floppy eyelids in the group which received 10 mg/kg of Aloe vera aqueous extract was significantly lower (Table 3) than that of the control group, but this parameter in the group which received 40 mg/kg Aloe vera aqueous extract was significantly higher than that of the control group (P = 0.03) (Table 3).
gold	Aloe vera aqueous extract 40 mg/kg 	Control	Agitation	Agitation in the group which received 10 mg/kg Aloe vera aqueous extract significantly decreased (P = 0.01) (Table 4) compared with the control group, but this parameter in the group which received 40 mg/kg Aloe vera aqueous extract significantly increased compared with the control group
c	Aloe vera aqueous extract	Aloe vera	Agitation	Agitation in the group which received 10 mg/kg Aloe vera aqueous extract significantly decreased (P = 0.01) (Table 4) compared with the control group, but this parameter in the group which received 40 mg/kg Aloe vera aqueous extract significantly increased compared with the control group (Table 3).
gold	Enalapril	Olmesartan	Hyperkalemia higher than 5 mmol/L	The percentage of patients presenting hyperkalemia higher than 5 mmol/L did not differ between treatments: 37% for olmesartan and 40% for enalapril.
x	olmesartan	enalapril .	percentage of patients presenting hyperkalemia	The percentage of patients presenting hyperkalemia higher than 5 mmol/L did not differ between treatments: 37% for olmesartan and 40% for enalapril.
gold	Enalapril	Olmesartan	Glomerular filtration rate increase 	The mean e-GFR ranged 46.3 to 48.59 ml/mint/1.73 m2 in those treated with olmesartan and 46.8 to 48.3 ml/mint/1.73 m2 in those with enalapril and remained unchanged at the end of the study.
x	enalapril	olmesartan	mean e - GFR	The mean e-GFR ranged 46.3 to 48.59 ml/mint/1.73 m2 in those treated with olmesartan and 46.8 to 48.3 ml/mint/1.73 m2 in those with enalapril and remained unchanged at the end of the study.
gold	Enalapril	Olmesartan	Microalbuminuria decrease	The decreases in microalbuminuria were also similar (23% in olmesartan and 29% in enalapril patients)
x	enalapril	olmesartan	microalbuminuria	The decreases in microalbuminuria were also similar (23% in olmesartan and 29% in enalapril patients) in the 4 weeks time point.
gold	Enalapril	Olmesartan	Urinary potassium	Furthermore, among those terminating the study there were no significant differences in urinary potassium with respect to baseline values (79.6 ± 9.4 vs. 81.1 ± 8.1 mmol/L for olmesartan and 81.7 ± 15.2 vs. 62.7 ± 6.5 mmol/L for enalapril) or appreciable changes in daily urine sodium elimination.
x	enalapril	olmesartan	daily urine sodium elimination .	Furthermore, among those terminating the study there were no significant differences in urinary potassium with respect to baseline values (79.6 ± 9.4 vs. 81.1 ± 8.1 mmol/L for olmesartan and 81.7 ± 15.2 vs. 62.7 ± 6.5 mmol/L for enalapril) or appreciable changes in daily urine sodium elimination.
gold	Enalapril	Olmesartan	Urinary potassium	Furthermore, among those terminating the study there were no significant differences in urinary potassium with respect to baseline values (79.6 ± 9.4 vs. 81.1 ± 8.1 mmol/L for olmesartan and 81.7 ± 15.2 vs. 62.7 ± 6.5 mmol/L for enalapril) or appreciable changes in daily urine sodium elimination.
x	enalapril	olmesartan	urinary potassium	Furthermore, among those terminating the study there were no significant differences in urinary potassium with respect to baseline values (79.6 ± 9.4 vs. 81.1 ± 8.1 mmol/L for olmesartan and 81.7 ± 15.2 vs. 62.7 ± 6.5 mmol/L for enalapril) or appreciable changes in daily urine sodium elimination.
gold	Glycopyrronium bromide 12.5 μg OD	Placebo	FEV1	increases in mean trough FEV1 versus placebo were statistically significant for all regimens, ranging from 51 mL (glycopyrronium bromide 12.5 μg OD) to 160 mL (glycopyrronium bromide 50 μg BID).
x	glycopyrronium bromide	placebo	bronchodilation	All OD and BID dosing regimens produced dose-dependent bronchodilation; at Day 28, increases in mean trough FEV1 versus placebo were statistically significant for all regimens, ranging from 51 mL (glycopyrronium bromide 12.5 μg OD) to 160 mL (glycopyrronium bromide 50 μg BID).
gold	Glycopyrronium bromide 12.5 μg OD	Placebo	FEV1	increases in mean trough FEV1 versus placebo were statistically significant for all regimens, ranging from 51 mL (glycopyrronium bromide 12.5 μg OD) to 160 mL (glycopyrronium bromide 50 μg BID).
x	glycopyrronium bromide	placebo	mean trough FEV1	All OD and BID dosing regimens produced dose-dependent bronchodilation; at Day 28, increases in mean trough FEV1 versus placebo were statistically significant for all regimens, ranging from 51 mL (glycopyrronium bromide 12.5 μg OD) to 160 mL (glycopyrronium bromide 50 μg BID).
gold	Glycopyrronium bromide 100 μg OD	Placebo	FEV1	Furthermore, all glycopyrronium bromide treatment groups had statistically significant absolute increases in mean trough FEV1 compared with placebo.
x	glycopyrronium bromide	placebo	mean trough FEV1	Furthermore, all glycopyrronium bromide treatment groups had statistically significant absolute increases in mean trough FEV1 compared with placebo.
gold	Glycopyrronium bromide 100 μg OD	Placebo	FEV1	Dose–response results for FEV1 at 12 hours, FEV1 AUC0-12h and FEV1 AUC0-4h at steady-state showed OD regimens provided greater improvement over placebo than BID regimens for total daily doses of 25 μg, 50 μg and 100 μg,
c	placebo	OD dosing	FEV1	Dose–response results for FEV1 at 12 hours, FEV1 AUC0-12h and FEV1 AUC0-4h at steady-state showed OD regimens provided greater improvement over placebo than BID regimens for total daily doses of 25 μg, 50 μg and 100 μg, while the reverse was true for OD versus BID regimens from 12–24 hours.
gold	Glycopyrronium bromide 100 μg OD	Placebo	FEV1	Dose–response results for FEV1 at 12 hours, FEV1 AUC0-12h and FEV1 AUC0-4h at steady-state showed OD regimens provided greater improvement over placebo than BID regimens for total daily doses of 25 μg, 50 μg and 100 μg,
c	placebo	OD dosing	FEV1 AUC0	Dose–response results for FEV1 at 12 hours, FEV1 AUC0-12h and FEV1 AUC0-4h at steady-state showed OD regimens provided greater improvement over placebo than BID regimens for total daily doses of 25 μg, 50 μg and 100 μg, while the reverse was true for OD versus BID regimens from 12–24 hours.
gold	NSI-189 	Placebo	Overall hippocampal volume after 28 days	Analysis of covariance results did not show significant differences in hippocampal volume at day 28 (left: F(1,21)=0.06, P=0.80; right: F(1,21)=0.71, P=0.41)
c	placebo	NSI - 189	hippocampal volume	Analysis of covariance results did not show significant differences in hippocampal volume at day 28 (left: F(1,21)=0.06, P=0.80; right: F(1,21)=0.71, P=0.41) or day 84 (left: F(1,18)=1.25, P=0.28; right: F(1,18)=4.17, P=0.06) between the pooled NSI-189 and placebo-treated patients.
gold	NSI-189	Placebo	Left hippocampal volume after 28 days	The post hoc repeated measures analysis of variance suggested a modest but not statistically significant increase in the left hippocampal volume in the NSI-189-treated patients (b=0.35, P=0.12), but not the right side (right: b=−0.03, P=0.82).
c	NSI - 189	NSI - 189	left hippocampal volume	The post hoc repeated measures analysis of variance suggested a modest but not statistically significant increase in the left hippocampal volume in the NSI-189-treated patients (b=0.35, P=0.12), but not the right side (right: b=−0.03, P=0.82).
